1,C60,P13,75
2,C78,P14,74
3,C30,P14,65
4,C11,P17,35
5,C28,P1,71
6,C73,P8,99
7,C53,P4,62
8,C82,P20,97
9,C99,P7,83
10,C31,P8,41
11,C27,P5,86
12,C47,P3,42
13,C7,P19,77
14,C24,P2,51
15,C14,P16,49
16,C62,P12,93
17,C59,P5,9
18,C29,P12,52
19,C48,P4,58
20,C97,P14,41
21,C7,P7,97
22,C18,P18,48
23,C66,P17,74
24,C2,P2,30
25,C85,P8,14
26,C14,P5,11
27,C35,P14,74
28,C22,P11,12
29,C18,P12,49
30,C95,P9,42
31,C63,P12,69
32,C92,P10,50
33,C89,P5,86
34,C95,P7,96
35,C95,P16,73
36,C39,P15,59
37,C64,P4,92
38,C74,P5,39
39,C56,P9,65
40,C83,P3,63
41,C31,P14,26
42,C54,P12,74
43,C69,P9,6
44,C78,P5,16
45,C51,P6,45
46,C17,P6,66
47,C76,P14,52
48,C18,P6,31
49,C92,P20,9
50,C76,P10,64
51,C71,P6,59
52,C10,P16,45
53,C80,P9,65
54,C32,P11,14
55,C76,P3,32
56,C94,P9,87
57,C76,P12,13
58,C47,P18,17
59,C38,P6,18
60,C13,P11,68
61,C79,P1,19
62,C70,P18,46
63,C54,P15,74
64,C66,P16,22
65,C10,P16,21
66,C41,P9,20
67,C54,P10,68
68,C37,P7,87
69,C49,P12,61
70,C21,P14,13
71,C94,P20,79
72,C74,P12,88
73,C40,P7,91
74,C17,P13,28
75,C29,P15,71
76,C89,P6,24
77,C15,P6,47
78,C49,P8,1
79,C85,P8,45
80,C35,P14,58
81,C81,P6,97
82,C90,P6,99
83,C47,P4,68
84,C78,P3,40
85,C63,P1,53
86,C43,P17,2
87,C25,P2,69
88,C40,P18,27
89,C88,P1,82
90,C100,P5,37
91,C84,P2,4
92,C93,P5,94
93,C89,P3,71
94,C26,P14,18
95,C64,P18,24
96,C67,P9,90
97,C63,P11,65
98,C60,P19,8
99,C18,P9,33
100,C4,P10,96
101,C42,P5,62
102,C92,P1,53
103,C9,P4,36
104,C3,P15,25
105,C81,P3,71
106,C3,P17,51
107,C58,P1,87
108,C100,P14,43
109,C7,P8,94
110,C54,P3,20
111,C65,P1,39
112,C81,P11,62
113,C41,P17,19
114,C73,P19,69
115,C67,P3,93
116,C14,P19,16
117,C65,P8,8
118,C18,P17,8
119,C32,P9,53
120,C88,P19,86
121,C7,P5,55
122,C97,P14,89
123,C27,P4,80
124,C21,P2,59
125,C69,P20,96
126,C86,P13,2
127,C85,P20,80
128,C17,P3,45
129,C5,P10,81
130,C73,P19,22
131,C39,P8,33
132,C85,P3,45
133,C18,P4,38
134,C21,P10,86
135,C23,P20,37
136,C32,P17,89
137,C35,P4,69
138,C9,P12,63
139,C55,P3,81
140,C67,P2,32
141,C71,P8,27
142,C18,P13,75
143,C26,P1,82
144,C43,P3,36
145,C42,P7,57
146,C73,P7,62
147,C67,P5,31
148,C2,P4,41
149,C65,P11,75
150,C65,P20,55
151,C100,P19,52
152,C1,P3,33
153,C17,P11,74
154,C14,P9,2
155,C5,P7,86
156,C34,P10,51
157,C85,P7,19
158,C6,P10,98
159,C10,P11,45
160,C29,P5,40
161,C51,P12,15
162,C18,P5,7
163,C15,P12,94
164,C17,P3,83
165,C65,P9,2
166,C30,P4,34
167,C55,P10,20
168,C96,P20,69
169,C23,P17,39
170,C29,P15,31
171,C49,P16,38
172,C56,P5,39
173,C77,P1,50
174,C87,P2,81
175,C30,P6,26
176,C35,P15,68
177,C16,P20,15
178,C39,P7,42
179,C63,P8,32
180,C44,P12,70
181,C81,P15,94
182,C55,P20,29
183,C9,P13,78
184,C84,P12,40
185,C9,P12,67
186,C65,P10,45
187,C62,P10,51
188,C86,P3,5
189,C86,P16,92
190,C68,P7,97
191,C69,P8,91
192,C97,P10,69
193,C3,P1,25
194,C41,P7,48
195,C20,P3,58
196,C6,P15,69
197,C97,P9,94
198,C2,P3,8
199,C71,P8,31
200,C14,P19,16
201,C1,P18,78
202,C65,P7,65
203,C44,P9,28
204,C55,P5,61
205,C82,P16,67
206,C35,P14,44
207,C42,P8,64
208,C36,P20,48
209,C64,P8,75
210,C55,P20,48
211,C86,P15,2
212,C41,P11,75
213,C7,P3,5
214,C74,P1,69
215,C35,P6,44
216,C5,P3,74
217,C97,P19,71
218,C57,P16,96
219,C94,P18,21
220,C48,P12,13
221,C78,P6,98
222,C93,P18,21
223,C35,P20,94
224,C61,P2,24
225,C2,P20,47
226,C70,P9,39
227,C92,P20,63
228,C98,P20,20
229,C55,P6,14
230,C35,P14,79
231,C8,P4,54
232,C2,P16,55
233,C57,P20,33
234,C20,P14,48
235,C62,P12,45
236,C99,P16,46
237,C38,P18,73
238,C81,P9,31
239,C55,P15,95
240,C16,P8,39
241,C60,P2,63
242,C20,P1,30
243,C46,P8,4
244,C92,P16,77
245,C37,P16,75
246,C58,P4,10
247,C91,P15,68
248,C38,P2,43
249,C17,P12,6
250,C77,P8,80
251,C25,P1,70
252,C63,P15,79
253,C57,P19,18
254,C98,P1,49
255,C25,P16,74
256,C52,P5,96
257,C71,P20,35
258,C17,P20,17
259,C64,P10,64
260,C94,P19,67
261,C94,P5,65
262,C91,P9,12
263,C67,P18,11
264,C23,P20,5
265,C15,P16,30
266,C20,P3,7
267,C69,P15,72
268,C16,P9,25
269,C15,P9,65
270,C35,P2,66
271,C88,P6,86
272,C26,P10,98
273,C75,P19,55
274,C73,P14,47
275,C21,P12,86
276,C16,P14,19
277,C81,P5,69
278,C8,P8,81
279,C88,P14,44
280,C100,P18,88
281,C90,P15,72
282,C86,P2,29
283,C30,P5,57
284,C98,P9,29
285,C66,P5,28
286,C62,P16,85
287,C39,P7,51
288,C7,P13,81
289,C38,P10,51
290,C20,P7,94
291,C40,P8,70
292,C48,P3,58
293,C12,P5,8
294,C65,P12,32
295,C25,P18,95
296,C75,P1,58
297,C54,P1,74
298,C26,P14,12
299,C6,P16,13
300,C11,P15,46
301,C85,P11,34
302,C100,P8,32
303,C21,P5,80
304,C6,P19,55
305,C18,P10,73
306,C99,P6,98
307,C25,P13,89
308,C53,P5,26
309,C89,P4,51
310,C67,P10,35
311,C100,P2,35
312,C99,P12,80
313,C55,P14,12
314,C73,P3,83
315,C24,P3,30
316,C89,P15,4
317,C30,P5,3
318,C4,P4,92
319,C73,P6,54
320,C98,P20,8
321,C99,P13,44
322,C24,P18,30
323,C66,P10,15
324,C25,P6,30
325,C27,P12,6
326,C27,P15,53
327,C76,P13,39
328,C82,P10,7
329,C80,P18,17
330,C71,P8,42
331,C7,P10,92
332,C33,P3,46
333,C94,P13,37
334,C28,P4,75
335,C34,P8,54
336,C91,P4,6
337,C48,P10,19
338,C63,P8,97
339,C20,P3,39
340,C37,P14,73
341,C84,P1,44
342,C54,P10,50
343,C88,P12,42
344,C54,P19,96
345,C60,P12,23
346,C12,P18,58
347,C98,P6,26
348,C13,P13,98
349,C87,P5,12
350,C55,P5,28
351,C87,P19,46
352,C12,P18,4
353,C95,P10,37
354,C72,P16,53
355,C8,P12,21
356,C47,P8,67
357,C23,P15,48
358,C9,P19,88
359,C11,P18,82
360,C99,P2,8
361,C86,P11,94
362,C19,P3,52
363,C83,P13,58
364,C18,P13,76
365,C45,P6,26
366,C5,P11,97
367,C77,P15,29
368,C13,P7,14
369,C55,P15,10
370,C70,P7,62
371,C20,P2,18
372,C2,P9,89
373,C54,P12,73
374,C3,P10,67
375,C36,P6,3
376,C17,P3,79
377,C8,P18,77
378,C11,P20,50
379,C58,P4,3
380,C26,P19,55
381,C13,P5,91
382,C72,P18,43
383,C36,P17,99
384,C60,P13,70
385,C62,P7,71
386,C39,P13,39
387,C66,P8,31
388,C10,P16,35
389,C9,P3,58
390,C31,P15,2
391,C43,P4,32
392,C60,P18,23
393,C78,P13,18
394,C19,P1,39
395,C89,P12,81
396,C71,P19,73
397,C18,P14,85
398,C39,P11,64
399,C59,P16,94
400,C78,P3,75
401,C52,P10,5
402,C11,P10,22
403,C34,P2,97
404,C9,P15,49
405,C69,P8,90
406,C45,P16,50
407,C89,P10,68
408,C46,P19,5
409,C74,P20,26
410,C10,P15,27
411,C84,P14,43
412,C36,P5,70
413,C82,P6,3
414,C11,P16,78
415,C12,P3,21
416,C12,P6,69
417,C89,P12,30
418,C71,P2,40
419,C29,P1,77
420,C52,P17,93
421,C89,P18,84
422,C52,P14,25
423,C81,P12,5
424,C63,P12,79
425,C39,P9,49
426,C49,P2,80
427,C17,P3,19
428,C64,P4,56
429,C76,P16,57
430,C78,P4,26
431,C19,P2,44
432,C49,P12,58
433,C1,P18,17
434,C14,P7,18
435,C56,P16,4
436,C12,P19,17
